address,class,city,state,latitude,longitude,accuracy,accuracy_type,zipcode,exact_match,geoid,geometry
2125 WILEY BLVD SW,COMMERCIAL,Cedar Rapids,IA,41.958402,-91.725257,1,rooftop,52404,Yes,191130010034023,POINT (-91.725257 41.958402)
214 15TH ST NE,RESIDENTIAL,Cedar Rapids,IA,41.989411,-91.653295,1,rooftop,52402,Yes,191130019001004,POINT (-91.653295 41.989411)
2150 SADLER DR SW,COMMERCIAL,Cedar Rapids,IA,41.9585,-91.729615,1,rooftop,52404,No,191130010034021,POINT (-91.729615 41.9585)
2160 WEST POST RD SW,COMMERCIAL,Cedar Rapids,IA,41.958145,-91.74125500000001,1,rooftop,52404,,191130030013000,POINT (-91.74125500000001 41.958145)
218 2ND AVE SW,COMMERCIAL,Cedar Rapids,IA,41.975052000000005,-91.67470300000001,1,rooftop,52404,Yes,191130022001036,POINT (-91.67470300000001 41.97505200000001)
2207 WILEY BLVD SW,RESIDENTIAL,Cedar Rapids,IA,41.957497,-91.725537,1,rooftop,52404,No,191130010034024,POINT (-91.725537 41.957497)
221 16TH ST NE,RESIDENTIAL,Cedar Rapids,IA,41.990696,-91.651974,1,rooftop,52402,Yes,191130019001004,POINT (-91.651974 41.990696)
2302 HILLCREST DR SE,RESIDENTIAL,Cedar Rapids,IA,41.97945,-91.634866,1,rooftop,52403,Yes,191130017004016,POINT (-91.634866 41.97945)
2324 CHESTNUT CT NE,RESIDENTIAL,Cedar Rapids,IA,42.006513,-91.675927,1,rooftop,52402,Yes,191130009022011,POINT (-91.675927 42.006513)
2357 ASPEN LN NE,RESIDENTIAL,Cedar Rapids,IA,42.024605,-91.677462,1,rooftop,52402,Yes,191130009012006,POINT (-91.67746200000001 42.024605)
2400 6TH ST SW,INDUSTRIAL,Cedar Rapids,IA,41.955073,-91.678969,1,rooftop,52404,Yes,191130029004005,POINT (-91.678969 41.955073)
2455 WILLIAMS BLVD SW,COMMERCIAL,Cedar Rapids,IA,41.965146999999995,-91.705371,1,rooftop,52404,Yes,191130024003000,POINT (-91.705371 41.96514699999999)
254 BRENTWOOD CIR NE,RESIDENTIAL,Cedar Rapids,IA,42.041026,-91.632488,1,rooftop,52402,Yes,191130002033008,POINT (-91.632488 42.041026)
2715 31ST ST SW,RESIDENTIAL,Cedar Rapids,IA,41.951324,-91.712068,1,rooftop,52404,Yes,191130030011012,POINT (-91.712068 41.951324)
292 35TH ST DR SE,RESIDENTIAL,Cedar Rapids,IA,42.013579,-91.62933699999999,1,rooftop,52403,Yes,191130007002001,POINT (-91.62933699999999 42.013579)
3130 ALLEGHANY DR NE,RESIDENTIAL,Cedar Rapids,IA,42.010539,-91.681786,1,rooftop,52402,Yes,191130009021014,POINT (-91.681786 42.010539)
3145 16TH AVE SW,COMMERCIAL,Cedar Rapids,IA,41.963035999999995,-91.71366,1,rooftop,52404,Yes,191130024003007,POINT (-91.71366 41.963036)
320 1ST ST SE,COMMERCIAL,Cedar Rapids,IA,41.975991,-91.667135,1,rooftop,52401,Yes,191130019003068,POINT (-91.667135 41.975991)
3206 CARRIAGE DR SW,RESIDENTIAL,Cedar Rapids,IA,41.948691,-91.714484,1,rooftop,52404,Yes,191130030012046,POINT (-91.714484 41.948691)
3217 TIMBER VALLEY CT NE,RESIDENTIAL,Cedar Rapids,IA,42.011981,-91.67126800000001,1,rooftop,52402,Yes,191130009022000,POINT (-91.67126800000001 42.011981)
329 CHERRY HILL RD NW,RESIDENTIAL,Cedar Rapids,IA,41.975654999999996,-91.744164,1,rooftop,52405,Yes,191130010022008,POINT (-91.744164 41.975655)
3305 SHASTA CT NE,RESIDENTIAL,Cedar Rapids,IA,42.012204,-91.68047,1,rooftop,52402,Yes,191130009021014,POINT (-91.68047 42.012204)
3315 WENIG RD NE,RESIDENTIAL,Cedar Rapids,IA,42.012302000000005,-91.677878,1,rooftop,52402,Yes,191130009021014,POINT (-91.67787800000001 42.01230200000001)
3321 1ST AVE SW,RESIDENTIAL,Cedar Rapids,IA,41.967415,-91.715778,1,rooftop,52404,,191130024003003,POINT (-91.715778 41.967415)
340 DAY ST NW,RESIDENTIAL,Cedar Rapids,IA,41.976009999999995,-91.742463,1,rooftop,52405,Yes,191130010022013,POINT (-91.742463 41.97601)
3421 BLAIRS FERRY RD NE,MULTI-RES,Cedar Rapids,IA,42.033425,-91.691443,1,rooftop,52402,Yes,191130009011011,POINT (-91.69144300000001 42.033425)
3449 SYCAMORE CT NE,RESIDENTIAL,Cedar Rapids,IA,42.017933,-91.690506,1,rooftop,52402,Yes,191130009021011,POINT (-91.690506 42.017933)
3635 12TH AVE SW,RESIDENTIAL,Cedar Rapids,IA,41.965383,-91.719554,1,rooftop,52404,No,191130010034004,POINT (-91.719554 41.965383)
3709 12TH AVE SW,RESIDENTIAL,Cedar Rapids,IA,41.965203,-91.72027800000001,1,rooftop,52404,No,191130010034004,POINT (-91.72027800000001 41.965203)
